"user_id","game_name","month","total_rev","prev_paid_month","prev_paid_rev","next_paid_month","prev_cal_month","next_cal_month","new_mrr","expansion_mrr","contraction_mrr","back_from_churn_mrr","churn_mrr","churn_month","language","has_older_device_model","age"
"06RPvlsFPCmM9ag+iSM/Ag==",game 3,2022-04-01,12.03,,,2022-05-01,2022-03-01,2022-05-01,12.03,,,,,,ru,false,34
"06RPvlsFPCmM9ag+iSM/Ag==",game 3,2022-05-01,28.32,2022-04-01,12.03,2022-06-01,2022-04-01,2022-06-01,,16.29,,,,,ru,false,34
"06RPvlsFPCmM9ag+iSM/Ag==",game 3,2022-06-01,29.07,2022-05-01,28.32,2022-07-01,2022-05-01,2022-07-01,,0.75,,,,,ru,false,34
"06RPvlsFPCmM9ag+iSM/Ag==",game 3,2022-07-01,25.23,2022-06-01,29.07,2022-08-01,2022-06-01,2022-08-01,,,3.84,,,,ru,false,34
"06RPvlsFPCmM9ag+iSM/Ag==",game 3,2022-08-01,18.9,2022-07-01,25.23,2022-09-01,2022-07-01,2022-09-01,,,6.33,,,,ru,false,34
"06RPvlsFPCmM9ag+iSM/Ag==",game 3,2022-09-01,48.72,2022-08-01,18.9,2022-10-01,2022-08-01,2022-10-01,,29.82,,,,,ru,false,34
"06RPvlsFPCmM9ag+iSM/Ag==",game 3,2022-10-01,25.74,2022-09-01,48.72,2022-11-01,2022-09-01,2022-11-01,,,22.98,,,,ru,false,34
"06RPvlsFPCmM9ag+iSM/Ag==",game 3,2022-11-01,39.78,2022-10-01,25.74,,2022-10-01,2022-12-01,,14.04,,,39.78,2022-12-01,ru,false,34
"0A5RkQrm+GBgG7KSFk/xhw==",game 3,2022-05-01,13.8,,,2022-06-01,2022-04-01,2022-06-01,13.8,,,,,,uk,false,31
"0A5RkQrm+GBgG7KSFk/xhw==",game 3,2022-06-01,48.21,2022-05-01,13.8,2022-07-01,2022-05-01,2022-07-01,,34.41,,,,,uk,false,31
"0A5RkQrm+GBgG7KSFk/xhw==",game 3,2022-07-01,52.77,2022-06-01,48.21,2022-08-01,2022-06-01,2022-08-01,,4.56,,,,,uk,false,31
"0A5RkQrm+GBgG7KSFk/xhw==",game 3,2022-08-01,40.83,2022-07-01,52.77,2022-09-01,2022-07-01,2022-09-01,,,11.94,,,,uk,false,31
"0A5RkQrm+GBgG7KSFk/xhw==",game 3,2022-09-01,35.49,2022-08-01,40.83,2022-10-01,2022-08-01,2022-10-01,,,5.34,,,,uk,false,31
"0A5RkQrm+GBgG7KSFk/xhw==",game 3,2022-10-01,35.73,2022-09-01,35.49,2022-11-01,2022-09-01,2022-11-01,,0.24,,,,,uk,false,31
"0A5RkQrm+GBgG7KSFk/xhw==",game 3,2022-11-01,72.93,2022-10-01,35.73,,2022-10-01,2022-12-01,,37.20,,,72.93,2022-12-01,uk,false,31
"0afix9qVNfU3GJY1n0QGkw==",game 3,2022-09-01,32.28,,,2022-10-01,2022-08-01,2022-10-01,32.28,,,,,,uk,false,25
"0afix9qVNfU3GJY1n0QGkw==",game 3,2022-10-01,13.23,2022-09-01,32.28,,2022-09-01,2022-11-01,,,19.05,,13.23,2022-11-01,uk,false,25
"0dJXy70SFjxVR6YgOPZzMQ==",game 3,2022-11-01,17.19,,,,2022-10-01,2022-12-01,17.19,,,,17.19,2022-12-01,uk,false,27
"14RMzQMoG017OLkaDBFjng==",game 3,2022-07-01,14.43,,,2022-11-01,2022-06-01,2022-08-01,14.43,,,,14.43,2022-08-01,uk,false,36
"14RMzQMoG017OLkaDBFjng==",game 3,2022-11-01,12.75,2022-07-01,14.43,,2022-10-01,2022-12-01,,,,12.75,12.75,2022-12-01,uk,false,36
"1BBMagZRq/39AV1l2rm4Iw==",game 3,2022-08-01,89.04,,,2022-09-01,2022-07-01,2022-09-01,89.04,,,,,,ru,false,23
"1BBMagZRq/39AV1l2rm4Iw==",game 3,2022-09-01,34.8,2022-08-01,89.04,2022-10-01,2022-08-01,2022-10-01,,,54.24,,,,ru,false,23
"1BBMagZRq/39AV1l2rm4Iw==",game 3,2022-10-01,55.80,2022-09-01,34.8,2022-11-01,2022-09-01,2022-11-01,,21.00,,,,,ru,false,23
"1BBMagZRq/39AV1l2rm4Iw==",game 3,2022-11-01,148.14,2022-10-01,55.80,,2022-10-01,2022-12-01,,92.34,,,148.14,2022-12-01,ru,false,23
"1dvc3uv3gFy83YY5oJeFkQ==",game 3,2022-08-01,45.93,,,,2022-07-01,2022-09-01,45.93,,,,45.93,2022-09-01,uk,false,17
"1jx1AjqUwE9sbCyafQnUNQ==",game 3,2022-06-01,56.13,,,2022-07-01,2022-05-01,2022-07-01,56.13,,,,,,ru,false,25
"1jx1AjqUwE9sbCyafQnUNQ==",game 3,2022-07-01,16.29,2022-06-01,56.13,2022-08-01,2022-06-01,2022-08-01,,,39.84,,,,ru,false,25
"1jx1AjqUwE9sbCyafQnUNQ==",game 3,2022-08-01,21.18,2022-07-01,16.29,2022-09-01,2022-07-01,2022-09-01,,4.89,,,,,ru,false,25
"1jx1AjqUwE9sbCyafQnUNQ==",game 3,2022-09-01,13.71,2022-08-01,21.18,2022-10-01,2022-08-01,2022-10-01,,,7.47,,,,ru,false,25
"1jx1AjqUwE9sbCyafQnUNQ==",game 3,2022-10-01,46.98,2022-09-01,13.71,2022-11-01,2022-09-01,2022-11-01,,33.27,,,,,ru,false,25
"1jx1AjqUwE9sbCyafQnUNQ==",game 3,2022-11-01,20.13,2022-10-01,46.98,2022-12-01,2022-10-01,2022-12-01,,,26.85,,,,ru,false,25
"1jx1AjqUwE9sbCyafQnUNQ==",game 3,2022-12-01,38.37,2022-11-01,20.13,,2022-11-01,2023-01-01,,18.24,,,38.37,2023-01-01,ru,false,25
"1KzlDBp5hORL7Y5PBaB+0g==",game 3,2022-09-01,58.20,,,2022-10-01,2022-08-01,2022-10-01,58.20,,,,,,uk,false,22
